condition_name_raw,condition_name_normalized
"Arthroplasty, Replacement, Knee","Arthroplasty, Replacement, Knee"
"Arthroplasty Replacement, Knee","Arthroplasty, Replacement, Knee"
Articular Cartilage Degeneration,Articular Cartilage Degeneration
Articular Cartilage; Degeneration,Articular Cartilage Degeneration
Aspergers Syndrome,Aspergers Syndrome
Asperger's Syndrome,Aspergers Syndrome
Aspirin-exacerbated Respiratory Disease,Aspirin-exacerbated Respiratory Disease
Aspirin-Exacerbated Respiratory Disease,Aspirin-exacerbated Respiratory Disease
Asthma Bronchial,Asthma Bronchial
"Asthma, Bronchial",Asthma Bronchial
Asthma COPD,Asthma COPD
Asthma Copd,Asthma COPD
"Asthma, COPD",Asthma COPD
Asthma.,Asthma.
ASTHMA,Asthma.
Asthma,Asthma.
Atopic Dermatitis,Atopic Dermatitis
ATOPIC DERMATITIS,Atopic Dermatitis
Atopic Dermatitis (AD),Atopic Dermatitis (AD)
Atopic Dermatitis \(AD\),Atopic Dermatitis (AD)
Atopic Dermatitis Eczema,Atopic Dermatitis Eczema
Atopic Dermatitis (Eczema),Atopic Dermatitis Eczema
Atopic Dermatitis / Eczema,Atopic Dermatitis Eczema
Atrioventricular Nodal Reentrant Tachycardia,Atrioventricular Nodal Reentrant Tachycardia
AtrioVentricular Nodal Reentrant Tachycardia,Atrioventricular Nodal Reentrant Tachycardia
Attention Deficit Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder
Attention Deficit/ Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder
Attention Deficit-Hyperactivity Disorder,Attention Deficit-Hyperactivity Disorder
Attention Deficit/Hyperactivity Disorder,Attention Deficit-Hyperactivity Disorder
Attention-Deficit Hyperactivity Disorder (ADHD),Attention-Deficit Hyperactivity Disorder (ADHD)
Attention-deficit Hyperactivity Disorder (ADHD),Attention-Deficit Hyperactivity Disorder (ADHD)
Attention-Deficit/Hyperactivity Disorder,Attention-Deficit/Hyperactivity Disorder
Attention-deficit/Hyperactivity Disorder,Attention-Deficit/Hyperactivity Disorder
Autism Spectrum Disorder (ASD,Autism Spectrum Disorder (ASD
Autism Spectrum Disorder (ASD),Autism Spectrum Disorder (ASD
Autosomal Dominant Polycystic Kidney Disease (ADPKD,Autosomal Dominant Polycystic Kidney Disease (ADPKD
Autosomal Dominant Polycystic Kidney Disease (ADPKD),Autosomal Dominant Polycystic Kidney Disease (ADPKD
Autosomal Dominant Polycystic Kidney Disease （ADPKD),Autosomal Dominant Polycystic Kidney Disease (ADPKD
Axial Spondyloarthritis (axSpA),Axial Spondyloarthritis (axSpA)
Axial Spondyloarthritis (AxSpA),Axial Spondyloarthritis (axSpA)
B Cells-Tumors,B Cells-Tumors
B Cells--Tumors,B Cells-Tumors
B-All,B-All
B-ALL,B-All
B-Cell Chronic Lymphocytic Leukemia (B-CLL),B-Cell Chronic Lymphocytic Leukemia (B-CLL)
B-cell Chronic Lymphocytic Leukemia (B-CLL),B-Cell Chronic Lymphocytic Leukemia (B-CLL)
B-Cell Leukemia,B-Cell Leukemia
B-cell Leukemia,B-Cell Leukemia
B-Cell Lymphoid Malignancies,B-Cell Lymphoid Malignancies
B-cell Lymphoid Malignancies,B-Cell Lymphoid Malignancies
B-Cell Lymphoma,B-Cell Lymphoma
B-cell Lymphoma,B-Cell Lymphoma
B-Cell Lymphoma Refractory,B-Cell Lymphoma Refractory
B-cell Lymphoma Refractory,B-Cell Lymphoma Refractory
B-Cell Lymphomas,B-Cell Lymphomas
B-cell Lymphomas,B-Cell Lymphomas
B-Cell Non-Hodgkin's Lymphoma,B-Cell Non-Hodgkin's Lymphoma
B-Cell Non-Hodgkins Lymphoma,B-Cell Non-Hodgkin's Lymphoma
B-cell Non-Hodgkin's Lymphoma,B-Cell Non-Hodgkin's Lymphoma
B-cell Non-Hodgkins Lymphoma,B-Cell Non-Hodgkin's Lymphoma
B-Cell Prolymphocytic Leukemia,B-Cell Prolymphocytic Leukemia
B-cell Prolymphocytic Leukemia,B-Cell Prolymphocytic Leukemia
B-cell Non-Hodgkin Lymphoma (B-NHL),B-cell Non-Hodgkin Lymphoma (B-NHL)
B-Cell Non-Hodgkin Lymphoma (B-NHL),B-cell Non-Hodgkin Lymphoma (B-NHL)
B-cell NonHodgkin Lymphoma,B-cell NonHodgkin Lymphoma
B-Cell Non-Hodgkin Lymphoma,B-cell NonHodgkin Lymphoma
B-cell Non-Hodgkin Lymphoma,B-cell NonHodgkin Lymphoma
B-precursor ALL,B-precursor ALL
B-Precursor ALL,B-precursor ALL
BIPOLAR DISORDER,BIPOLAR DISORDER
Bi-Polar Disorder,BIPOLAR DISORDER
Bipolar Disorder,BIPOLAR DISORDER
BIPOLAR I DISORDER,BIPOLAR I DISORDER
Bipolar I Disorder,BIPOLAR I DISORDER
BRAF Mutation-Related Tumors,BRAF Mutation-Related Tumors
B-Raf Mutation-Related Tumors,BRAF Mutation-Related Tumors
BRCA2 Gene Mutation,BRCA2 Gene Mutation
brca2 Gene Mutation,BRCA2 Gene Mutation
BRCA2 Mutation Carrier,BRCA2 Mutation Carrier
brca2 Mutation Carrier,BRCA2 Mutation Carrier
Bacteremia,Bacteremia
Bacteremia.,Bacteremia
Bacterial Recovery of Skin Flora Post-product Application,Bacterial Recovery of Skin Flora Post-product Application
Bacterial Recovery of Skin Flora Post-Product Application,Bacterial Recovery of Skin Flora Post-product Application
Bacterial Vaginosis,Bacterial Vaginosis
BACTERIAL VAGINOSIS,Bacterial Vaginosis
Benign Prostatic Hyperplasia With Lower Urinary Tract Symptoms,Benign Prostatic Hyperplasia With Lower Urinary Tract Symptoms
Benign Prostatic Hyperplasia with Lower Urinary Tract Symptoms,Benign Prostatic Hyperplasia With Lower Urinary Tract Symptoms
Beta-Blocker,Beta-Blocker
Beta-blocker,Beta-Blocker
Beta-Thalassemia Major,Beta-Thalassemia Major
Beta-thalassemia Major,Beta-Thalassemia Major
Binge-Eating Disorder,Binge-Eating Disorder
Binge-eating Disorder,Binge-Eating Disorder
Bipolar Mania,Bipolar Mania
"Bipolar, Mania",Bipolar Mania
Blood Coagulation Disorders,Blood Coagulation Disorders
"Blood Coagulation, Disorders",Blood Coagulation Disorders
"Bone Loss, Age-Related","Bone Loss, Age-Related"
"Bone Loss, Age-related","Bone Loss, Age-Related"
Borderline Personality Disorder,Borderline Personality Disorder
Borderline Personality Disorder.,Borderline Personality Disorder
Bowen's Disease,Bowen's Disease
Bowens Disease,Bowen's Disease
Brain Metastases from Non-small Cell Lung Cancer,Brain Metastases from Non-small Cell Lung Cancer
Brain Metastases From Non-small Cell Lung Cancer,Brain Metastases from Non-small Cell Lung Cancer
Branch Retinal Vein Occlusion With Macular Edema,Branch Retinal Vein Occlusion With Macular Edema
Branch Retinal Vein Occlusion with Macular Edema,Branch Retinal Vein Occlusion With Macular Edema
Breast Cancer,Breast Cancer
BREAST CANCER,Breast Cancer
Breast Cancer.,Breast Cancer
Breast Cancer - Male,Breast Cancer - Male
"Breast Cancer, Male",Breast Cancer - Male
Breast Cancer Female,Breast Cancer Female
Breast Cancer - Female,Breast Cancer Female
Breast Cancer Metastatic,Breast Cancer Metastatic
"Breast Cancer, Metastatic",Breast Cancer Metastatic
Breast Cancer Metastatic Breast Cancer,Breast Cancer Metastatic Breast Cancer
"Breast Cancer, Metastatic Breast Cancer",Breast Cancer Metastatic Breast Cancer
Breast Cancer Stage II,Breast Cancer Stage II
"Breast Cancer, Stage II",Breast Cancer Stage II
Breast Cancer Stage III,Breast Cancer Stage III
"Breast Cancer, Stage III",Breast Cancer Stage III
"Breast Cancer, Stage I","Breast Cancer, Stage I"
Breast Cancer Stage I,"Breast Cancer, Stage I"
"Breast Cancer, Stage IIIB","Breast Cancer, Stage IIIB"
Breast Cancer Stage IIIB,"Breast Cancer, Stage IIIB"
Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ
Breast Ductal Carcinoma in Situ,Breast Ductal Carcinoma In Situ
Breast Lobular Carcinoma in Situ,Breast Lobular Carcinoma in Situ
Breast Lobular Carcinoma In Situ,Breast Lobular Carcinoma in Situ
Bronchiectasis,Bronchiectasis
BRONCHIECTASIS,Bronchiectasis
Bruton's Tyrosine Kinase,Bruton's Tyrosine Kinase
Brutons Tyrosine Kinase,Bruton's Tyrosine Kinase
C-reactive Protein,C-reactive Protein
C-Reactive Protein,C-reactive Protein
CANCER,CANCER
Cancer,CANCER
Cancer.,CANCER
CANDIDEMIA,CANDIDEMIA
Candidemia,CANDIDEMIA
CAROTID STENOSIS,CAROTID STENOSIS
Carotid Stenosis,CAROTID STENOSIS
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE
Chronic Obstructive Pulmonary Disease,CHRONIC OBSTRUCTIVE PULMONARY DISEASE
CHRONIC SPONTANEOUS URTICARIA,CHRONIC SPONTANEOUS URTICARIA
Chronic Spontaneous Urticaria,CHRONIC SPONTANEOUS URTICARIA
CIRRHOSIS,CIRRHOSIS
Cirrhosis,CIRRHOSIS
CML,CML
Cml,CML
CML (Chronic Myelogenous Leukemia,CML (Chronic Myelogenous Leukemia
CML (Chronic Myelogenous Leukemia),CML (Chronic Myelogenous Leukemia
CML Accelerated Phase,CML Accelerated Phase
"CML, Accelerated Phase",CML Accelerated Phase
"CML, Chronic Phase","CML, Chronic Phase"
CML Chronic Phase,"CML, Chronic Phase"
COINFECTION,COINFECTION
Co-infection,COINFECTION
CONGESTIVE HEART FAILURE,CONGESTIVE HEART FAILURE
Congestive Heart Failure,CONGESTIVE HEART FAILURE
COPD,COPD
Copd,COPD
